sampler,steps,lpips_cfg_5_to_7_5,lpips_cfg_7_5_to_12
ddim,20,0.10200285911560059,0.1249399408698082
ddim,20,0.053205497562885284,0.04426449164748192
ddim,20,0.2064831554889679,0.1776643991470337
ddim,20,0.2217128574848175,0.37389639019966125
ddim,20,0.1853228509426117,0.25416436791419983
ddim,20,0.17817085981369019,0.49845582246780396
ddim,20,0.2233632504940033,0.21796724200248718
ddim,20,0.169990673661232,0.4572252333164215
ddim,20,0.15253353118896484,0.15365605056285858
ddim,20,0.1531892567873001,0.27046748995780945
ddim,20,0.10188862681388855,0.18154090642929077
ddim,20,0.10846088826656342,0.1876540184020996
ddim,20,0.2823038697242737,0.29433077573776245
ddim,20,0.22710102796554565,0.22377131879329681
ddim,20,0.1960533708333969,0.3479076623916626
ddim,20,0.21833142638206482,0.3041660785675049
ddim,20,0.05725528672337532,0.13340631127357483
ddim,20,0.23381701111793518,0.33433452248573303
ddim,20,0.12071210145950317,0.3210681080818176
ddim,20,0.09257528185844421,0.18524213135242462
ddim,20,0.19359053671360016,0.2293596714735031
ddim,20,0.17379042506217957,0.4775545001029968
ddim,20,0.19132576882839203,0.3503287434577942
ddim,20,0.13298587501049042,0.2630162835121155
ddim,20,0.06827764958143234,0.06973587721586227
ddim,20,0.07616835832595825,0.12272755801677704
ddim,20,0.3941478133201599,0.5026981830596924
ddim,20,0.07205602526664734,0.19859686493873596
ddim,20,0.2452022135257721,0.2812831401824951
ddim,20,0.22847512364387512,0.2955850660800934
ddim,20,0.07610468566417694,0.1140051931142807
ddim,20,0.09011425077915192,0.08815604448318481
ddim,30,0.12922705709934235,0.1551823765039444
ddim,30,0.26140111684799194,0.30516254901885986
ddim,30,0.17712950706481934,0.2591637670993805
ddim,30,0.17820408940315247,0.22362074255943298
ddim,30,0.10097137838602066,0.16753952205181122
ddim,30,0.13948558270931244,0.16854946315288544
ddim,30,0.21410596370697021,0.2305181622505188
ddim,30,0.2831175923347473,0.1637980341911316
ddim,30,0.08373454213142395,0.17344851791858673
ddim,30,0.13770005106925964,0.1161189079284668
ddim,30,0.3297666907310486,0.3368619680404663
ddim,30,0.21664340794086456,0.2204258143901825
ddim,30,0.13282521069049835,0.1912766396999359
ddim,30,0.18185696005821228,0.16401204466819763
ddim,30,0.15569546818733215,0.3151593506336212
ddim,30,0.07835012674331665,0.10982448607683182
ddim,30,0.09386248886585236,0.22110097110271454
ddim,30,0.25975140929222107,0.41747039556503296
ddim,30,0.08003287762403488,0.13158932328224182
ddim,30,0.06683513522148132,0.06312688440084457
ddim,30,0.13157996535301208,0.2176898717880249
ddim,30,0.202727273106575,0.2395050823688507
ddim,30,0.11305858939886093,0.14070266485214233
ddim,30,0.1349302977323532,0.17414304614067078
ddim,30,0.2098952978849411,0.2073362022638321
ddim,30,0.21432238817214966,0.41698747873306274
ddim,30,0.12325657159090042,0.10796615481376648
ddim,30,0.09803739935159683,0.2978004217147827
ddim,30,0.12539097666740417,0.18229056894779205
ddim,30,0.12121549248695374,0.14010140299797058
ddim,30,0.3052850365638733,0.2640497088432312
ddim,30,0.21227669715881348,0.2938677668571472
ddim,30,0.1981750726699829,0.2630281150341034
ddim,30,0.1990073323249817,0.3678213357925415
ddim,30,0.07478427141904831,0.13971078395843506
ddim,30,0.2924402356147766,0.26019859313964844
ddim,30,0.1520812064409256,0.07955782115459442
ddim,30,0.1630786955356598,0.17643529176712036
ddim,30,0.18545660376548767,0.3232128322124481
ddim,30,0.2199963629245758,0.29504281282424927
ddim,30,0.19574308395385742,0.31714844703674316
ddim,30,0.10582181811332703,0.15476825833320618
ddim,30,0.0816495418548584,0.11247751116752625
ddim,30,0.08366148173809052,0.09267176687717438
ddim,30,0.1575477421283722,0.2918773591518402
ddim,30,0.07603905349969864,0.12744680047035217
ddim,30,0.1173664778470993,0.21666505932807922
ddim,30,0.30846768617630005,0.3768051564693451
ddim,30,0.08288446813821793,0.12668316066265106
ddim,30,0.09307336062192917,0.07659921050071716
