sampler,guidance,lpips_10_to_20,lpips_20_to_30
ddim,7.5,0.21154850721359253,0.12730076909065247
ddim,7.5,0.1724971979856491,0.1714143455028534
ddim,7.5,0.42643770575523376,0.34898510575294495
ddim,7.5,0.21261689066886902,0.04469919949769974
ddim,7.5,0.24828281998634338,0.11913308501243591
ddim,7.5,0.4383954107761383,0.24721479415893555
ddim,7.5,0.16369536519050598,0.09254708886146545
ddim,7.5,0.17106960713863373,0.02385929971933365
ddim,7.5,0.20888608694076538,0.11128241568803787
ddim,7.5,0.3634810745716095,0.19119524955749512
ddim,7.5,0.32585421204566956,0.1684669405221939
ddim,7.5,0.43803322315216064,0.1747347116470337
ddim,7.5,0.2802277207374573,0.09489709883928299
ddim,7.5,0.22793522477149963,0.12070430815219879
ddim,7.5,0.20241864025592804,0.08215126395225525
ddim,7.5,0.36686575412750244,0.2116222083568573
ddim,7.5,0.31446993350982666,0.15186060965061188
ddim,7.5,0.3308456242084503,0.15404602885246277
ddim,7.5,0.4315645098686218,0.18345218896865845
ddim,7.5,0.3167459964752197,0.24641750752925873
ddim,7.5,0.3543721139431,0.19383931159973145
ddim,7.5,0.28000664710998535,0.12880867719650269
ddim,7.5,0.2006264328956604,0.07988717406988144
ddim,7.5,0.46873053908348083,0.23998324573040009
ddim,7.5,0.14745526015758514,0.17391648888587952
ddim,7.5,0.41136813163757324,0.1434466689825058
ddim,7.5,0.40841057896614075,0.15843026340007782
ddim,7.5,0.4128267168998718,0.10465036332607269
ddim,7.5,0.3522169589996338,0.2559850811958313
ddim,7.5,0.3613675534725189,0.0679495558142662
ddim,7.5,0.18203997611999512,0.044740792363882065
ddim,7.5,0.12607043981552124,0.024760719388723373
ddim,7.5,0.5439879894256592,0.30161720514297485
ddim,7.5,0.21800008416175842,0.15496394038200378
ddim,7.5,0.38242506980895996,0.22246451675891876
ddim,7.5,0.2788230776786804,0.21445712447166443
ddim,7.5,0.23283104598522186,0.05752000957727432
ddim,7.5,0.09986655414104462,0.0302923321723938
ddim,12.0,0.2799374759197235,0.15789276361465454
ddim,12.0,0.5765190720558167,0.432070255279541
ddim,12.0,0.3823128938674927,0.30869051814079285
ddim,12.0,0.3116148114204407,0.22031429409980774
ddim,12.0,0.5350909233093262,0.2068396806716919
ddim,12.0,0.3312871754169464,0.23527003824710846
ddim,12.0,0.27955198287963867,0.24596238136291504
ddim,12.0,0.38663411140441895,0.2880793511867523
ddim,12.0,0.38117465376853943,0.14242921769618988
ddim,12.0,0.45562952756881714,0.1888812780380249
ddim,12.0,0.5132169127464294,0.28699254989624023
ddim,12.0,0.43631574511528015,0.47485196590423584
ddim,12.0,0.27730605006217957,0.22305208444595337
ddim,12.0,0.2471427023410797,0.17462624609470367
ddim,12.0,0.45215922594070435,0.3759368658065796
ddim,12.0,0.34105297923088074,0.07810431718826294
ddim,12.0,0.3481029272079468,0.2455434799194336
ddim,12.0,0.47372889518737793,0.3981378674507141
ddim,12.0,0.20573890209197998,0.15610671043395996
ddim,12.0,0.2101292610168457,0.05333228036761284
ddim,12.0,0.2794378399848938,0.15466448664665222
ddim,12.0,0.3962572515010834,0.37040218710899353
ddim,12.0,0.37958359718322754,0.25662845373153687
ddim,12.0,0.34549200534820557,0.5358283519744873
ddim,12.0,0.3454127311706543,0.16563169658184052
ddim,12.0,0.42011386156082153,0.3392393887042999
ddim,12.0,0.22778189182281494,0.10796314477920532
ddim,12.0,0.5299832820892334,0.16435611248016357
ddim,12.0,0.41554155945777893,0.23342430591583252
ddim,12.0,0.45914095640182495,0.16270212829113007
ddim,12.0,0.5175842046737671,0.2281666100025177
ddim,12.0,0.4248208701610565,0.22071564197540283
ddim,12.0,0.467229962348938,0.33578434586524963
ddim,12.0,0.37716472148895264,0.32060009241104126
ddim,12.0,0.3129386305809021,0.12605775892734528
ddim,12.0,0.4327446222305298,0.3481501340866089
ddim,12.0,0.31997203826904297,0.3998010754585266
ddim,12.0,0.5614935159683228,0.22494354844093323
ddim,12.0,0.45295411348342896,0.32037100195884705
ddim,12.0,0.5034070014953613,0.4891394376754761
ddim,12.0,0.3744455873966217,0.41583824157714844
ddim,12.0,0.5856479406356812,0.23773272335529327
ddim,12.0,0.3301044702529907,0.11549529433250427
ddim,12.0,0.1289810687303543,0.11345763504505157
ddim,12.0,0.6121814250946045,0.5473476648330688
ddim,12.0,0.28333842754364014,0.2540976107120514
ddim,12.0,0.4775305986404419,0.30582109093666077
ddim,12.0,0.46665263175964355,0.35316240787506104
ddim,12.0,0.31503599882125854,0.1351550668478012
ddim,12.0,0.20469063520431519,0.09331085532903671
